Price,Close,High,Low,Open,Volume
Ticker,ES=F,ES=F,ES=F,ES=F,ES=F
Date,,,,,
2023-01-03,3846.0,3906.75,3814.5,3895.0,1782473
2023-01-04,3874.5,3896.25,3836.5,3842.75,1912155
2023-01-05,3829.0,3885.5,3822.5,3871.0,1679973
2023-01-06,3915.5,3928.75,3819.0,3833.0,2026154
2023-01-09,3913.75,3973.25,3909.75,3918.5,1697887
2023-01-10,3940.75,3943.75,3891.5,3914.5,1520955
2023-01-11,3990.0,3992.5,3934.5,3941.0,1398769
2023-01-12,4003.5,4021.5,3954.0,3991.75,2102587
2023-01-13,4018.25,4024.25,3961.75,4003.0,1456784
2023-01-17,4009.5,4035.25,3996.75,4020.0,1423931
2023-01-18,3945.75,4033.5,3943.75,4008.5,1902551
2023-01-19,3915.5,3948.75,3901.75,3945.25,1896890
2023-01-20,3988.5,3990.5,3911.75,3925.0,1620355
2023-01-23,4036.5,4056.75,3980.25,3987.0,1594736
2023-01-24,4032.75,4047.5,4005.25,4036.5,1472856
2023-01-25,4032.0,4040.5,3963.25,4039.0,1760515
2023-01-26,4075.5,4077.0,4027.25,4031.0,1613804
2023-01-27,4084.25,4109.25,4057.25,4065.0,1587936
2023-01-30,4032.5,4086.0,4029.5,4077.0,1786112
2023-01-31,4090.0,4091.25,4007.5,4039.25,1790751
2023-02-01,4132.25,4163.25,4048.5,4085.75,2000400
2023-02-02,4191.5,4208.5,4136.75,4145.5,2290729
2023-02-03,4147.75,4194.0,4132.5,4176.0,2354996
2023-02-06,4123.5,4143.0,4104.0,4134.25,1560324
2023-02-07,4175.75,4188.25,4098.25,4123.5,2180936
2023-02-08,4130.5,4179.25,4121.25,4167.25,1804101
2023-02-09,4091.75,4170.25,4078.25,4132.25,1828571
2023-02-10,4099.75,4104.25,4060.75,4098.0,1744956
2023-02-13,4147.25,4150.75,4078.75,4105.0,1376325
2023-02-14,4145.5,4186.5,4103.75,4149.75,2379034
2023-02-15,4158.25,4161.75,4113.0,4141.25,1611550
2023-02-16,4099.75,4168.5,4095.0,4159.0,2042993
2023-02-17,4087.5,4096.0,4055.75,4095.5,2008448
2023-02-21,4005.75,4089.25,4002.0,4083.0,1883040
2023-02-22,3999.0,4025.0,3983.75,4007.5,1925300
2023-02-23,4018.75,4034.25,3974.25,4010.0,1955820
2023-02-24,3975.75,4023.25,3947.5,4015.25,2063242
2023-02-27,3988.0,4024.75,3973.0,3976.5,1621961
2023-02-28,3975.5,4003.75,3965.0,3991.5,1847930
2023-03-01,3956.5,3991.0,3943.0,3968.5,2042321
2023-03-02,3984.75,3995.25,3925.0,3959.75,1836555
2023-03-03,4049.75,4053.0,3974.0,3983.0,1665102
2023-03-06,4052.5,4082.5,4041.75,4049.25,1528845
2023-03-07,3989.75,4064.5,3982.5,4053.75,2141615
2023-03-08,3995.0,4003.25,3971.5,3990.0,1831712
2023-03-09,3920.0,4019.75,3909.5,3997.0,2547423
2023-03-10,3862.75,3941.75,3846.25,3919.0,3285811
2023-03-13,3856.75,3938.75,3808.75,3887.75,2750477
2023-03-14,3920.5,3938.0,3855.25,3865.75,1606509
2023-03-15,3892.75,3931.0,3834.0,3920.5,833643
2023-03-16,3960.5,3966.5,3863.25,3892.75,466914
2023-03-17,3957.050048828125,3974.0,3923.0,3962.25,2224268
2023-03-20,3983.0,3989.5,3897.25,3963.75,1818807
2023-03-21,4035.75,4043.25,3981.75,3986.5,1531670
2023-03-22,3970.5,4073.75,3966.25,4038.75,1802929
2023-03-23,3978.0,4039.5,3948.5,3972.75,2236954
2023-03-24,4001.25,4010.75,3937.0,3988.75,1944981
2023-03-27,4007.25,4034.25,3997.5,4008.0,1304572
2023-03-28,4001.5,4023.75,3980.75,4013.5,1224495
2023-03-29,4057.5,4061.25,4006.0,4006.5,1389352
2023-03-30,4080.0,4087.75,4052.5,4058.0,1328529
2023-03-31,4137.75,4142.5,4078.0,4081.0,1695840
2023-04-03,4153.75,4157.75,4122.75,4127.0,1380286
2023-04-04,4129.0,4171.75,4115.25,4152.5,1582414
2023-04-05,4117.25,4135.5,4099.0,4134.0,1470176
2023-04-06,4132.0,4135.25,4096.5,4113.75,73009
2023-04-10,4136.25,4143.0,4098.75,4139.0,1167715
2023-04-11,4136.5,4151.75,4128.75,4138.5,1221824
2023-04-12,4119.0,4177.75,4113.5,4137.5,1853671
2023-04-13,4172.75,4177.0,4110.25,4117.5,1458785
2023-04-14,4163.75,4189.0,4138.0,4168.75,1882896
2023-04-17,4176.75,4180.5,4148.0,4174.25,1298123
2023-04-18,4180.0,4198.25,4164.5,4177.0,1427797
2023-04-19,4178.5,4187.5,4150.5,4176.0,1292622
2023-04-20,4152.5,4173.5,4137.0,4172.25,1768379
2023-04-21,4156.75,4161.0,4135.25,4153.75,1645161
2023-04-24,4159.5,4164.25,4133.5,4150.0,1328041
2023-04-25,4093.25,4158.5,4091.5,4157.25,1770908
2023-04-26,4076.0,4116.25,4068.75,4110.25,1814741
2023-04-27,4153.75,4166.5,4080.75,4085.5,1686692
2023-04-28,4188.5,4193.75,4131.5,4151.0,1753803
2023-05-01,4185.75,4206.25,4178.5,4190.0,1240490
2023-05-02,4136.75,4191.5,4105.5,4179.5,2034176
2023-05-03,4107.5,4167.0,4095.0,4133.25,1658392
2023-05-04,4075.75,4118.0,4062.25,4087.0,1994772
2023-05-05,4150.25,4163.25,4076.75,4077.25,1545895
2023-05-08,4152.75,4161.0,4137.5,4151.0,1026014
2023-05-09,4134.0,4153.0,4131.0,4150.5,1000924
2023-05-10,4152.0,4173.25,4112.25,4133.0,1887587
2023-05-11,4143.75,4168.5,4121.5,4152.75,1473383
2023-05-12,4138.0,4164.5,4111.75,4144.5,1434601
2023-05-15,4150.0,4156.25,4123.0,4132.25,1179165
2023-05-16,4123.0,4151.5,4120.0,4148.25,1316691
2023-05-17,4171.5,4179.0,4122.0,4126.0,1584910
2023-05-18,4212.0,4215.75,4161.25,4171.25,1760668
